random_id,participant_id,trial_type,trial_index,trial_number,time_elapsed,rt,stimulus,response,question_order,correct_key,correct,object_num,angle,correct_response,correct_response_key,age,year,major,minor,gender,about,difficulties,trial_kind
p059dy6tho6,turtle,image-keyboard-response,202,87,401568,1507,stimuli/13_0_R.jpg,j,NA,NA,TRUE,13,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,204,88,409465,NA,stimuli/32_150.jpg,null,NA,NA,FALSE,32,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,206,89,412143,1281,stimuli/6_0.jpg,f,NA,NA,TRUE,6,0,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,208,90,413937,1399,stimuli/45_150_R.jpg,f,NA,NA,FALSE,45,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,210,91,418531,3196,stimuli/38_150.jpg,f,NA,NA,TRUE,38,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,212,92,422712,3786,stimuli/35_50_R.jpg,j,NA,NA,TRUE,35,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,214,93,425362,2256,stimuli/13_50_R.jpg,j,NA,NA,TRUE,13,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,216,94,428772,3014,stimuli/4_150_R.jpg,j,NA,NA,TRUE,4,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,218,95,431732,2565,stimuli/39_100.jpg,f,NA,NA,TRUE,39,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,220,96,434985,2858,stimuli/27_150_R.jpg,f,NA,NA,FALSE,27,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p28lt6j893h,moose,html-keyboard-response,9,1,56879,6605,"<img src=""stimuli/1_150.jpg"">",f,NA,f,TRUE,NA,NA,NA,NA,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,practice
p28lt6j893h,moose,html-keyboard-response,11,2,59810,1662,"<img src=""stimuli/2_0.jpg"">",f,NA,f,TRUE,NA,NA,NA,NA,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,practice
p28lt6j893h,moose,html-keyboard-response,13,3,64060,2974,"<img src=""stimuli/1_100_R.jpg"">",f,NA,j,FALSE,NA,NA,NA,NA,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,practice
p28lt6j893h,moose,html-keyboard-response,15,4,68357,3027,"<img src=""stimuli/1_50.jpg"">",f,NA,f,TRUE,NA,NA,NA,NA,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,practice
p28lt6j893h,moose,html-keyboard-response,17,5,72586,2954,"<img src=""stimuli/2_100.jpg"">",j,NA,f,FALSE,NA,NA,NA,NA,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,practice
p28lt6j893h,moose,html-keyboard-response,19,6,76692,2838,"<img src=""stimuli/2_150_R.jpg"">",f,NA,j,FALSE,NA,NA,NA,NA,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,practice
p28lt6j893h,moose,html-keyboard-response,21,7,82351,4391,"<img src=""stimuli/1_0_R.jpg"">",f,NA,j,FALSE,NA,NA,NA,NA,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,practice
p28lt6j893h,moose,html-keyboard-response,23,8,91852,8229,"<img src=""stimuli/2_50_R.jpg"">",j,NA,j,TRUE,NA,NA,NA,NA,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,practice
p28lt6j893h,moose,image-keyboard-response,26,1,106733,5934,stimuli/30_50.jpg,f,NA,NA,TRUE,30,50,same,f,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,28,2,114652,NA,stimuli/46_150.jpg,null,NA,NA,FALSE,46,150,same,f,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,30,3,121010,4951,stimuli/30_0.jpg,f,NA,NA,TRUE,30,0,same,f,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,32,4,124295,2878,stimuli/16_0_R.jpg,j,NA,NA,TRUE,16,0,different,j,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,34,5,129652,4955,stimuli/10_50.jpg,f,NA,NA,TRUE,10,50,same,f,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,36,6,137568,NA,stimuli/31_150.jpg,null,NA,NA,FALSE,31,150,same,f,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,38,7,142060,3077,stimuli/34_50_R.jpg,j,NA,NA,TRUE,34,50,different,j,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,40,8,145600,3132,stimuli/14_100.jpg,j,NA,NA,FALSE,14,100,same,f,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,42,9,151874,4852,stimuli/38_150_R.jpg,f,NA,NA,FALSE,38,150,different,j,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,44,10,155497,2197,stimuli/35_100_R.jpg,j,NA,NA,TRUE,35,100,different,j,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,46,11,163175,7273,stimuli/16_150.jpg,f,NA,NA,TRUE,16,150,same,f,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,48,12,170381,6800,stimuli/5_150_R.jpg,f,NA,NA,FALSE,5,150,different,j,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,50,13,175654,3851,stimuli/34_100_R.jpg,j,NA,NA,TRUE,34,100,different,j,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
p28lt6j893h,moose,image-keyboard-response,52,14,176808,741,stimuli/5_0.jpg,j,NA,NA,FALSE,5,0,same,f,21,4th year,Cognitive Behavioral Neuroscience,Biology,Woman,Shape arrangement,no,experimental
